Region,Population
Anhui,"63,240,000"
Beijing,"21,542,000"
Chongqing,"31,018,000"
Fujian,"39,410,000"
Gansu,"26,370,000"
Guangdong,"113,460,000"
Guangxi,"49,260,000"
Guizhou,"36,000,000"
Hainan,"9,340,000"
Hebei,"75,560,000"
Heilongjiang,"37,730,000"
Henan,"96,050,000"
Hong Kong,"7,392,000"
Hubei,"59,170,000"
Hunan,"68,990,000"
Jiangsu,"80,507,000"
Jiangxi,"46,480,000"
Jilin,"27,040,000"
Liaoning,"43,590,000"
Inner Mongolia,"25,340,000"
Macau,"622,567"
Ningxia,"6,880,000"
Qinghai,"6,030,000"
Shandong,"100,470,000"
Shanghai,"24,240,000"
Shaanxi,"37,183,000"
Shanxi,"38,640,000"
Sichuan,"83,410,000"
Tianjin,"15,600,000"
Xinjiang,"24,870,000"
Tibet,"3,440,000"
Yunnan,"48,300,000"
Zhejiang,"57,370,000"
