CountryName,WarningLevel,Date
Guinea ,2,13-Feb-20
Australia ,1,21-Jan-20
Japan ,2,22-Feb-20
Mongolia ,4,18-Mar-20
Croatia ,1,14-Jan-20
Luxembourg ,1,29-Jan-20
Montenegro ,1,15-Jan-20
Poland ,1,14-Jan-20
Serbia ,2,16-Jan-20
Slovenia ,1,15-Jan-20
Brazil ,2,14-Jan-20
Iran ,4,26-Feb-20
Iraq ,4,11-Jan-20
Israel ,3,13-Mar-20
Italy ,3,29-Feb-20
South Korea ,3,29-Feb-20
Nepal ,2,2-Jan-20
Pakistan ,3,31-Jan-20
Russia ,2,10-Feb-20
Ukraine ,2,19-Feb-20
Azerbaijan ,3,6-Mar-20
Bolivia ,2,6-Jan-20
Canada ,1,14-Jan-20
China ,4,2-Feb-20
Costa Rica ,2,7-Jan-20
Egypt ,2,6-Mar-20
Democratic Republic of the Congo ,3,2-Jan-20
