CountryName,Region,Population
United States of America,AL,"4,903,185"
United States of America,AK,"731,545"
United States of America,AS,"55,641"
United States of America,AZ,"7,278,717"
United States of America,AR,"3,017,825"
United States of America,CO,"5,758,736"
United States of America,CT,"3,565,287"
United States of America,DE,"973,764"
United States of America,DC,"705,749"
United States of America,FL,"21,477,737"
United States of America,GA,"10,617,423"
United States of America,GU,"165,718"
United States of America,HI,"1,415,872"
United States of America,ID,"1,787,147"
United States of America,IL,"12,671,821"
United States of America,IN,"6,732,219"
United States of America,IA,"3,155,070"
United States of America,KS,"2,913,314"
United States of America,KY,"4,467,673"
United States of America,LA,"4,648,794"
United States of America,ME,"1,344,212"
United States of America,MD,"6,045,680"
United States of America,MA,"6,949,503"
United States of America,MI,"9,986,857"
United States of America,MN,"5,639,632"
United States of America,MS,"2,976,149"
United States of America,MO,"6,137,428"
United States of America,MT,"1,068,778"
United States of America,NE,"1,934,408"
United States of America,NV,"3,080,156"
United States of America,NH,"1,359,711"
United States of America,NJ,"8,882,190"
United States of America,NM,"2,096,829"
United States of America,NY,"19,453,561"
United States of America,NC,"10,488,084"
United States of America,ND,"762,062"
United States of America,MP,"55,194"
United States of America,OH,"11,689,100"
United States of America,OK,"3,956,971"
United States of America,OR,"4,217,737"
United States of America,PA,"12,801,989"
United States of America,PR,"3,193,694"
United States of America,RI,"1,059,361"
United States of America,SC,"5,148,714"
United States of America,SD,"884,659"
United States of America,TN,"6,833,174"
United States of America,TX,"28,995,881"
United States of America,VI,"104,914"
United States of America,UT,"3,205,958"
United States of America,VT,"623,989"
United States of America,VA,"8,535,519"
United States of America,WA,"7,614,893"
United States of America,WV,"1,792,065"
United States of America,WI,"5,822,434"
United States of America,WY,"578,759"
United States of America,CA,"39,512,223"
