Date,Days Since 2019-12-31,CountryName,Region,County,Confirmed,Deaths
1/21/2020,21,United States of America,Washington,Snohomish,1,0
1/22/2020,22,United States of America,Washington,Snohomish,1,0
1/23/2020,23,United States of America,Washington,Snohomish,1,0
1/24/2020,24,United States of America,Illinois,Cook,1,0
1/24/2020,24,United States of America,Washington,Snohomish,1,0
1/25/2020,25,United States of America,California,Orange,1,0
1/25/2020,25,United States of America,Illinois,Cook,1,0
1/25/2020,25,United States of America,Washington,Snohomish,1,0
1/26/2020,26,United States of America,Arizona,Maricopa,1,0
1/26/2020,26,United States of America,California,Los Angeles,1,0
1/26/2020,26,United States of America,California,Orange,1,0
1/26/2020,26,United States of America,Illinois,Cook,1,0
1/26/2020,26,United States of America,Washington,Snohomish,1,0
1/27/2020,27,United States of America,Arizona,Maricopa,1,0
1/27/2020,27,United States of America,California,Los Angeles,1,0
1/27/2020,27,United States of America,California,Orange,1,0
1/27/2020,27,United States of America,Illinois,Cook,1,0
1/27/2020,27,United States of America,Washington,Snohomish,1,0
1/28/2020,28,United States of America,Arizona,Maricopa,1,0
1/28/2020,28,United States of America,California,Los Angeles,1,0
1/28/2020,28,United States of America,California,Orange,1,0
1/28/2020,28,United States of America,Illinois,Cook,1,0
1/28/2020,28,United States of America,Washington,Snohomish,1,0
1/29/2020,29,United States of America,Arizona,Maricopa,1,0
1/29/2020,29,United States of America,California,Los Angeles,1,0
1/29/2020,29,United States of America,California,Orange,1,0
1/29/2020,29,United States of America,Illinois,Cook,1,0
1/29/2020,29,United States of America,Washington,Snohomish,1,0
1/30/2020,30,United States of America,Arizona,Maricopa,1,0
1/30/2020,30,United States of America,California,Los Angeles,1,0
1/30/2020,30,United States of America,California,Orange,1,0
1/30/2020,30,United States of America,Illinois,Cook,2,0
1/30/2020,30,United States of America,Washington,Snohomish,1,0
1/31/2020,31,United States of America,Arizona,Maricopa,1,0
1/31/2020,31,United States of America,California,Los Angeles,1,0
1/31/2020,31,United States of America,California,Orange,1,0
1/31/2020,31,United States of America,California,Santa Clara,1,0
1/31/2020,31,United States of America,Illinois,Cook,2,0
1/31/2020,31,United States of America,Washington,Snohomish,1,0
2/1/2020,32,United States of America,Arizona,Maricopa,1,0
2/1/2020,32,United States of America,California,Los Angeles,1,0
2/1/2020,32,United States of America,California,Orange,1,0
2/1/2020,32,United States of America,California,Santa Clara,1,0
2/1/2020,32,United States of America,Illinois,Cook,2,0
2/1/2020,32,United States of America,Massachusetts,Suffolk,1,0
